Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,1.190000,1.190000,1.100000,1.160000,1.160000,77900
2020-08-06,1.150000,1.150000,1.000000,1.020000,1.020000,122200
2020-08-07,1.010000,1.010000,0.920000,0.970000,0.970000,100600
2020-08-10,0.960000,1.000000,0.950000,0.980000,0.980000,37000
2020-08-11,0.970000,0.990000,0.920000,0.940000,0.940000,57900
2020-08-12,0.960000,0.970000,0.920000,0.930000,0.930000,49700
2020-08-13,0.940000,0.940000,0.850000,0.880000,0.880000,88300
2020-08-14,0.880000,0.890000,0.850000,0.890000,0.890000,39600
2020-08-17,0.940000,0.960000,0.870000,0.880000,0.880000,89700
2020-08-18,0.870000,0.950000,0.870000,0.930000,0.930000,99500
2020-08-19,0.940000,1.170000,0.900000,0.940000,0.940000,980200
2020-08-20,0.980000,1.000000,0.940000,0.970000,0.970000,207600
2020-08-21,0.970000,1.040000,0.970000,1.010000,1.010000,126400
2020-08-24,1.000000,1.010000,0.970000,0.980000,0.980000,94700
2020-08-25,1.010000,1.020000,0.950000,0.990000,0.990000,99900
2020-08-26,1.000000,1.020000,0.950000,0.970000,0.970000,28200
2020-08-27,0.970000,1.000000,0.930000,1.000000,1.000000,47100
2020-08-28,1.000000,1.000000,0.960000,1.000000,1.000000,60100
2020-08-31,1.000000,1.100000,0.960000,0.960000,0.960000,87600
2020-09-01,0.950000,1.020000,0.940000,0.940000,0.940000,174500
2020-09-02,1.010000,1.140000,1.000000,1.100000,1.100000,310700
2020-09-03,1.120000,1.150000,1.060000,1.080000,1.080000,111300
2020-09-04,1.070000,1.110000,0.910000,0.940000,0.940000,184600
2020-09-08,0.990000,0.990000,0.930000,0.970000,0.970000,72700
2020-09-09,0.950000,0.960000,0.900000,0.910000,0.910000,156200
2020-09-10,0.900000,0.930000,0.850000,0.880000,0.880000,134300
2020-09-11,0.880000,0.910000,0.860000,0.870000,0.870000,56100
2020-09-14,0.890000,0.890000,0.840000,0.840000,0.840000,140400
2020-09-15,0.880000,0.880000,0.810000,0.880000,0.880000,47900
2020-09-16,0.890000,0.890000,0.840000,0.840000,0.840000,44300
2020-09-17,0.850000,0.890000,0.820000,0.830000,0.830000,88600
2020-09-18,0.840000,0.840000,0.810000,0.840000,0.840000,139400
2020-09-21,0.840000,0.840000,0.800000,0.810000,0.810000,26200
2020-09-22,0.800000,0.840000,0.800000,0.820000,0.820000,61300
2020-09-23,0.820000,0.820000,0.790000,0.800000,0.800000,37600
2020-09-24,0.810000,0.810000,0.780000,0.780000,0.780000,40900
2020-09-25,0.780000,0.850000,0.760000,0.850000,0.850000,132700
2020-09-28,0.810000,0.850000,0.810000,0.840000,0.840000,58800
2020-09-29,0.840000,0.850000,0.770000,0.810000,0.810000,37100
2020-09-30,0.810000,0.930000,0.810000,0.900000,0.900000,81300
2020-10-01,0.910000,0.910000,0.780000,0.850000,0.850000,149400
2020-10-02,0.880000,0.920000,0.880000,0.920000,0.920000,42100
2020-10-05,0.910000,0.940000,0.890000,0.890000,0.890000,66700
2020-10-06,0.900000,0.940000,0.880000,0.880000,0.880000,54800
2020-10-07,0.890000,0.890000,0.810000,0.860000,0.860000,28900
2020-10-08,0.840000,0.930000,0.800000,0.900000,0.900000,64600
2020-10-09,0.920000,0.930000,0.860000,0.860000,0.860000,30500
2020-10-12,0.860000,0.900000,0.860000,0.900000,0.900000,27000
2020-10-13,0.910000,0.910000,0.860000,0.870000,0.870000,30700
2020-10-14,0.870000,0.910000,0.820000,0.850000,0.850000,36500
2020-10-15,0.820000,0.900000,0.820000,0.860000,0.860000,47300
2020-10-16,0.890000,0.900000,0.860000,0.880000,0.880000,44000
2020-10-19,0.880000,0.900000,0.850000,0.860000,0.860000,45100
2020-10-20,0.900000,0.910000,0.850000,0.890000,0.890000,36500
2020-10-21,0.880000,0.910000,0.850000,0.850000,0.850000,15900
2020-10-22,0.860000,0.910000,0.860000,0.890000,0.890000,71900
2020-10-23,0.900000,0.930000,0.900000,0.920000,0.920000,43900
2020-10-26,0.930000,0.940000,0.930000,0.930000,0.930000,33100
2020-10-27,0.940000,0.940000,0.920000,0.940000,0.940000,50800
2020-10-28,0.910000,0.910000,0.850000,0.890000,0.890000,39000
2020-10-29,0.900000,0.940000,0.880000,0.880000,0.880000,18800
2020-10-30,0.930000,0.940000,0.880000,0.910000,0.910000,9000
2020-11-02,0.900000,1.090000,0.880000,0.970000,0.970000,969500
2020-11-03,0.950000,1.010000,0.930000,0.970000,0.970000,104200
2020-11-04,0.940000,1.030000,0.940000,0.990000,0.990000,141700
2020-11-05,1.100000,1.470000,1.090000,1.320000,1.320000,2814600
2020-11-06,1.290000,1.320000,1.200000,1.300000,1.300000,320100
2020-11-09,1.330000,1.350000,1.230000,1.330000,1.330000,165000
2020-11-10,1.320000,1.500000,1.300000,1.490000,1.490000,283700
2020-11-11,1.510000,2.000000,1.450000,1.710000,1.710000,1251000
2020-11-12,1.610000,1.780000,1.610000,1.670000,1.670000,345800
2020-11-13,1.730000,2.030000,1.700000,1.900000,1.900000,568800
2020-11-16,1.870000,2.180000,1.870000,1.930000,1.930000,504300
2020-11-17,1.880000,1.920000,1.630000,1.760000,1.760000,370200
2020-11-18,1.790000,2.020000,1.750000,1.800000,1.800000,374500
2020-11-19,1.840000,2.050000,1.840000,1.980000,1.980000,324500
2020-11-20,1.980000,2.080000,1.900000,1.910000,1.910000,148100
2020-11-23,1.890000,2.040000,1.890000,2.020000,2.020000,220300
2020-11-24,1.990000,2.380000,1.990000,2.230000,2.230000,407100
2020-11-25,2.250000,2.550000,2.200000,2.250000,2.250000,402200
2020-11-27,2.340000,2.500000,2.340000,2.500000,2.500000,188500
2020-11-30,2.570000,2.700000,2.420000,2.430000,2.430000,221900
2020-12-01,2.440000,2.510000,2.080000,2.250000,2.250000,346600
2020-12-02,2.210000,2.430000,2.120000,2.420000,2.420000,147200
2020-12-03,2.500000,2.510000,2.300000,2.370000,2.370000,94200
2020-12-04,2.380000,2.560000,2.360000,2.530000,2.530000,141000
2020-12-07,2.590000,2.650000,2.410000,2.450000,2.450000,153300
2020-12-08,2.460000,2.750000,2.460000,2.730000,2.730000,217400
2020-12-09,2.750000,2.920000,2.530000,2.660000,2.660000,290500
2020-12-10,2.660000,2.680000,2.520000,2.610000,2.610000,72100
2020-12-11,2.650000,2.850000,2.650000,2.720000,2.720000,95000
2020-12-14,2.680000,2.750000,2.470000,2.550000,2.550000,92300
