"Date","Price","Open","High","Low","Vol.","Change %"
"May 21, 2020","99.399","99.250","99.540","99.050","0.08K","0.26%"
"May 20, 2020","99.137","99.515","99.515","99.020","0.08K","-0.23%"
"May 19, 2020","99.368","99.655","99.770","99.280","0.15K","-0.33%"
"May 18, 2020","99.692","100.375","100.500","99.630","0.11K","-0.73%"
"May 15, 2020","100.429","100.310","100.500","100.150","0.03K","-0.07%"
"May 14, 2020","100.502","100.400","100.600","100.285","0.02K","0.22%"
"May 13, 2020","100.286","99.980","100.300","99.700","0.03K","0.34%"
"May 12, 2020","99.950","100.400","100.500","99.770","0.04K","-0.31%"
"May 11, 2020","100.260","99.750","100.300","99.750","0.10K","0.49%"
"May 08, 2020","99.775","99.710","99.970","99.485","0.13K","-0.17%"
"May 07, 2020","99.941","100.310","100.465","99.895","0.08K","-0.22%"
"May 06, 2020","100.161","99.915","100.260","99.915","0.03K","0.37%"
"May 05, 2020","99.787","99.515","100.065","99.450","0.08K","0.21%"
"May 04, 2020","99.573","99.260","99.645","99.260","0.04K","0.45%"
"May 01, 2020","99.130","99.265","99.265","98.855","0.01K","0.07%"
"Apr 30, 2020","99.058","99.505","99.760","99.010","0.06K","-0.60%"
"Apr 29, 2020","99.654","99.865","99.940","99.570","0.01K","-0.29%"
"Apr 28, 2020","99.944","100.220","100.255","99.545","0.01K","-0.16%"
"Apr 27, 2020","100.107","100.390","100.400","99.900","0.08K","-0.32%"
"Apr 24, 2020","100.424","100.675","100.900","100.335","0.06K","-0.10%"
"Apr 23, 2020","100.527","100.580","100.770","100.180","0.07K","0.02%"
